,Crop,N,P,K,pH,soil_moisture
0,rice,80,40,40,5.5,30
3,maize,80,40,20,5.5,50
5,chickpea,40,60,80,5.5,60
12,kidneybeans,20,60,20,5.5,45
13,pigeonpeas,20,60,20,5.5,45
14,mothbeans,20,40,20,5.5,30
15,mungbean,20,40,20,5.5,80
18,blackgram,40,60,20,5,60
24,lentil,20,60,20,5.5,90
60,pomegranate,20,10,40,5.5,30
61,banana,100,75,50,6.5,40
62,mango,20,20,30,5,15
63,grapes,20,125,200,4,60
66,watermelon,100,10,50,5.5,70
67,muskmelon,100,10,50,5.5,30
69,apple,20,125,200,6.5,50
74,orange,20,10,10,4,60
75,papaya,50,50,50,6,20
88,coconut,20,10,30,5,45
93,cotton,120,40,20,5.5,70
94,jute,80,40,40,5.5,20
95,coffee,100,20,30,5.5,20
96,wheat,90,45,35,6.0,50
97,barley,85,40,30,6.0,45
98,oats,80,35,30,5.5,55
99,sorghum,70,25,40,6.0,40
100,millet,60,30,35,6.5,50
101,soybean,80,60,50,6.0,70
102,potato,120,50,60,5.5,80
103,tomato,90,45,60,6.5,60
104,cabbage,70,35,50,6.0,65
105,spinach,50,20,30,6.0,70
